variable,group,value,id
Census Tract 5801,15min,0.945524,17031580100
Census Tract 5802,15min,1.18142,17031580200
Census Tract 5803,15min,0.227538,17031580300
Census Tract 5804,15min,0.014006,17031580400
Census Tract 5805.01,15min,0.176318,17031580501
Census Tract 5805.02,15min,0.0471977,17031580502
Census Tract 5806,15min,0.310996,17031580600
Census Tract 5807,15min,0.341935,17031580700
Census Tract 5808,15min,1.10318,17031580800
Census Tract 5905,15min,0.0833814,17031590500
Census Tract 5906,15min,0.413327,17031590600
Census Tract 5907,15min,0.935033,17031590700
Census Tract 6004,15min,0.984251,17031600400
Census Tract 6006,15min,0.882525,17031600600
Census Tract 6007,15min,0.940992,17031600700
Census Tract 6009,15min,0.823614,17031600900
Census Tract 6103,15min,0.176304,17031610300
Census Tract 6104,15min,0.99352,17031610400
Census Tract 6108,15min,0.254886,17031610800
Census Tract 6110,15min,0.255428,17031611000
Census Tract 6111,15min,0.209501,17031611100
Census Tract 6112,15min,0.928544,17031611200
Census Tract 6113,15min,0.956935,17031611300
Census Tract 6114,15min,0.104061,17031611400
Census Tract 6115,15min,0.139433,17031611500
Census Tract 6116,15min,0.720686,17031611600
Census Tract 6117,15min,0.554304,17031611700
Census Tract 6118,15min,0.942068,17031611800
Census Tract 6119,15min,1.11482,17031611900
Census Tract 6120,15min,1.02008,17031612000
Census Tract 6121,15min,0.219035,17031612100
Census Tract 6201,15min,0.147392,17031620100
Census Tract 6202,15min,0.134977,17031620200
Census Tract 6203,15min,0.162143,17031620300
Census Tract 6204,15min,0.127537,17031620400
Census Tract 6301,15min,1.09925,17031630100
Census Tract 6302,15min,1.11817,17031630200
Census Tract 6303,15min,0.269291,17031630300
Census Tract 6304,15min,0.105159,17031630400
Census Tract 6305,15min,0.880023,17031630500
Census Tract 6308,15min,0.917532,17031630800
Census Tract 6309,15min,0.830846,17031630900
Census Tract 6401,15min,0.191117,17031640100
Census Tract 6403,15min,0.124309,17031640300
Census Tract 6404,15min,0.146171,17031640400
Census Tract 6405,15min,0.0845027,17031640500
Census Tract 6406,15min,0.0845579,17031640600
Census Tract 6407,15min,0.24052,17031640700
Census Tract 6408,15min,0.233268,17031640800
Census Tract 6501,15min,0.0734524,17031650100
Census Tract 6502,15min,0.132281,17031650200
Census Tract 6503.01,15min,0.125553,17031650301
Census Tract 6503.02,15min,0.0761864,17031650302
Census Tract 6504,15min,0.117072,17031650400
